batch_size,distance
8,321.98038639113145                                                                                                                                                          
16,289.95442562694933                                                                                                                                                         
32,274.1616673678271                                                                                                                                                          
64,237.43279976502654                                                                                                                                                         
128,209.7015701839925                                                                                                                                                         
256,187.30417883038982                                                                                                                                                        
512,176.46915968614223
